gene_id,feature_id,lr,df,pvalue,adj_pvalue,external_gene_name
ENSG00000164405,ENST00000378670,316.917977455334,1,6.79582971498537e-71,2.62251068701285e-67,UQCRQ
ENSG00000105372,ENST00000598742,269.980111605472,1,1.14615629019367e-60,2.21150856192869e-57,RPS19
ENSG00000019582,ENST00000353334,266.208498821499,1,7.60802101012664e-60,7.33983826952387e-57,CD74
ENSG00000019582,ENST00000009530,266.208498821497,1,7.60802101013098e-60,7.33983826952387e-57,CD74
ENSG00000164405,ENST00000378667,228.888653957633,1,1.04162434730728e-51,8.03925671251761e-49,UQCRQ
ENSG00000176945,ENST00000445522,204.717582893239,1,1.95167752300411e-46,1.25525392687881e-43,MUC20
ENSG00000205542,ENST00000451311,196.541601788177,1,1.1873096545376e-44,6.54546850980086e-42,TMSB4X
ENSG00000250722,ENST00000514985,164.12337226702,1,1.42170791527556e-37,6.85796355631047e-35,SELENOP
ENSG00000158828,ENST00000400490,156.477694244465,1,6.65705019282046e-36,2.57712639602698e-33,PINK1
ENSG00000158985,ENST00000506929,156.471383045981,1,6.6782233636356e-36,2.57712639602698e-33,CDC42SE2
ENSG00000072274,ENST00000698276,136.29951786577,1,1.71592681806672e-31,6.01978326447226e-29,TFRC
ENSG00000158604,ENST00000481238,134.076527013058,1,5.25696276295261e-31,1.56050917709493e-28,TMED4
ENSG00000158604,ENST00000457408,134.076527013058,1,5.25696276295261e-31,1.56050917709493e-28,TMED4
ENSG00000105372,ENST00000221975,132.215412240441,1,1.34233897698209e-30,3.70006150869564e-28,RPS19
ENSG00000104763,ENST00000637790,130.165214157663,1,3.77051577337606e-30,9.70028024630548e-28,ASAH1
ENSG00000156508,ENST00000309268,127.897741752292,1,1.18177605753593e-29,2.68263165060655e-27,EEF1A1
ENSG00000156508,ENST00000316292,127.897741752292,1,1.18177605753593e-29,2.68263165060655e-27,EEF1A1
ENSG00000113013,ENST00000297185,126.002183115796,1,3.07145203558518e-29,6.58485189184623e-27,HSPA9
ENSG00000104763,ENST00000637561,114.30742366976,1,1.11594177311249e-26,2.266536474969e-24,ASAH1
ENSG00000176945,ENST00000436408,101.996971175525,1,5.56067192990588e-24,1.07293164887534e-21,MUC20
ENSG00000112697,ENST00000230461,99.3943908592013,1,2.06907761178224e-23,3.62935022903082e-21,TMEM30A
ENSG00000112697,ENST00000673730,99.3943908592012,1,2.06907761178227e-23,3.62935022903082e-21,TMEM30A
ENSG00000122515,ENST00000309315,98.1924284274798,1,3.79638790856167e-23,6.36967866919108e-21,ZMIZ2
ENSG00000062194,ENST00000506184,88.8137277273497,1,4.33795146935193e-21,6.69606188809163e-19,GPBP1
ENSG00000062194,ENST00000309096,88.8137277273497,1,4.33795146935193e-21,6.69606188809163e-19,GPBP1
ENSG00000124198,ENST00000680130,86.4024884398725,1,1.46800083566099e-20,2.17885200954452e-18,ARFGEF2
ENSG00000105968,ENST00000222690,83.9352448028003,1,5.11249201621587e-20,7.04610953234895e-18,H2AZ2
ENSG00000105968,ENST00000308153,83.9352448028003,1,5.11249201621587e-20,7.04610953234895e-18,H2AZ2
ENSG00000101152,ENST00000470551,81.1340625208793,1,2.10913087619429e-19,2.71304535041126e-17,DNAJC5
ENSG00000101152,ENST00000360864,81.1340625208793,1,2.10913087619429e-19,2.71304535041126e-17,DNAJC5
ENSG00000044574,ENST00000681774,79.6305470326294,1,4.51392389609923e-19,5.61910719840223e-17,HSPA5
ENSG00000122515,ENST00000463056,76.1272565608636,1,2.65960796495795e-18,3.20732098024147e-16,ZMIZ2
ENSG00000102471,ENST00000703123,75.9022848997713,1,2.98054972699128e-18,3.3829239401351e-16,NDFIP2
ENSG00000102471,ENST00000218652,75.9022848997713,1,2.98054972699128e-18,3.3829239401351e-16,NDFIP2
ENSG00000150527,ENST00000280083,72.3899073442884,1,1.76614896221881e-17,1.94730538434354e-15,MIA2
ENSG00000095787,ENST00000679428,71.2918334924789,1,3.08108440402903e-17,3.30275130976334e-15,WAC
ENSG00000177565,ENST00000636864,71.0238486828479,1,3.52932806626836e-17,3.5841255283499e-15,TBL1XR1
ENSG00000177565,ENST00000474363,71.0238486828479,1,3.52932806626836e-17,3.5841255283499e-15,TBL1XR1
ENSG00000129003,ENST00000249837,68.9092503964169,1,1.03100096020501e-16,1.02016223216183e-14,VPS13C
ENSG00000105372,ENST00000593863,65.0274953934512,1,7.38602671071746e-16,7.12566926916467e-14,RPS19
ENSG00000101266,ENST00000645260,64.4107331785523,1,1.01006419209421e-15,9.50692126168676e-14,CSNK2A1
ENSG00000125844,ENST00000468428,63.4949494506625,1,1.60778511215048e-15,1.47724827328302e-13,RRBP1
ENSG00000243449,ENST00000409860,60.8787269197828,1,6.07012416307205e-15,5.32377480574891e-13,NICOL1
ENSG00000243449,ENST00000409248,60.8787269197828,1,6.07012416307209e-15,5.32377480574891e-13,NICOL1
ENSG00000137648,ENST00000534111,58.3390994352344,1,2.20615645282292e-14,1.85077342422688e-12,TMPRSS4
ENSG00000137648,ENST00000616579,58.3390994352344,1,2.20615645282292e-14,1.85077342422688e-12,TMPRSS4
ENSG00000157349,ENST00000562519,57.2111306307819,1,3.91449503210495e-14,3.21405028274319e-12,DDX19B
ENSG00000075415,ENST00000401722,56.9080767960208,1,4.56666425734236e-14,3.67140778522587e-12,SLC25A3
ENSG00000126005,ENST00000435366,56.7476885896745,1,4.95472918545068e-14,3.90210202584779e-12,MMP24OS
ENSG00000150991,ENST00000536769,55.9821823793193,1,7.31307870066109e-14,5.53356288350023e-12,UBC
ENSG00000150991,ENST00000339647,55.9821823793193,1,7.31307870066109e-14,5.53356288350023e-12,UBC
ENSG00000070214,ENST00000374720,55.1254546562932,1,1.13076973312417e-13,8.23328377382311e-12,SLC44A1
ENSG00000070214,ENST00000374724,55.1254546562931,1,1.13076973312419e-13,8.23328377382311e-12,SLC44A1
ENSG00000162496,ENST00000616661,54.8136909577063,1,1.32514428529587e-13,9.29769417628505e-12,DHRS3
ENSG00000162496,ENST00000606790,54.8136909577063,1,1.32514428529587e-13,9.29769417628505e-12,DHRS3
ENSG00000092201,ENST00000557394,53.256756761778,1,2.92679026113319e-13,1.98148835398473e-11,SUPT16H
ENSG00000092201,ENST00000216297,53.256756761778,1,2.92679026113319e-13,1.98148835398473e-11,SUPT16H
ENSG00000075711,ENST00000667157,52.8055006615508,1,3.68268434945442e-13,2.45025498354217e-11,DLG1
ENSG00000181704,ENST00000374622,52.1084445083337,1,5.25185896931596e-13,3.37782062709838e-11,YIPF6
ENSG00000181704,ENST00000462683,52.1084445083337,1,5.25185896931596e-13,3.37782062709838e-11,YIPF6
ENSG00000100883,ENST00000677647,50.0685657262374,1,1.48466404328083e-12,9.39232548036181e-11,SRP54
ENSG00000127914,ENST00000679521,49.6228856695987,1,1.86327468859074e-12,1.15973822955994e-10,AKAP9
ENSG00000276045,ENST00000698901,48.1898122970524,1,3.86893260531826e-12,2.33284545686299e-10,ORAI1
ENSG00000276045,ENST00000646827,48.1898122970524,1,3.86893260531826e-12,2.33284545686299e-10,ORAI1
ENSG00000150527,ENST00000553383,47.9121996236778,1,4.45739443615176e-12,2.64632078909379e-10,MIA2
ENSG00000063177,ENST00000549920,47.8392309345404,1,4.62641308111991e-12,2.70504970909723e-10,RPL18
ENSG00000123575,ENST00000299906,47.6550930564228,1,5.08200386912738e-12,2.88403719572979e-10,FAM199X
ENSG00000123575,ENST00000493442,47.6550930564228,1,5.08200386912738e-12,2.88403719572979e-10,FAM199X
ENSG00000090520,ENST00000265028,47.2976647250472,1,6.09848298462717e-12,3.39223764100492e-10,DNAJB11
ENSG00000167004,ENST00000300289,47.2523143075522,1,6.24122499381574e-12,3.39223764100492e-10,PDIA3
ENSG00000167004,ENST00000686314,47.2523143075522,1,6.24122499381574e-12,3.39223764100492e-10,PDIA3
ENSG00000013374,ENST00000413040,47.1362357607465,1,6.62200520982776e-12,3.54921084787852e-10,NUB1
ENSG00000127914,ENST00000493453,46.8553236027961,1,7.64252135545721e-12,4.04006711105608e-10,AKAP9
ENSG00000170315,ENST00000302182,45.9854711710303,1,1.1913322910183e-11,6.21263690681028e-10,UBB
ENSG00000197081,ENST00000678224,44.4876275268328,1,2.55969740166298e-11,1.29972003592335e-09,IGF2R
ENSG00000197081,ENST00000356956,44.4876275268328,1,2.55969740166298e-11,1.29972003592335e-09,IGF2R
ENSG00000146648,ENST00000275493,43.9165991014291,1,3.42670393529184e-11,1.69533980593477e-09,EGFR
ENSG00000146648,ENST00000700146,43.9165991014291,1,3.42670393529184e-11,1.69533980593477e-09,EGFR
ENSG00000134851,ENST00000381334,43.6193109598057,1,3.98883487145384e-11,1.92411422111755e-09,TMEM165
ENSG00000134851,ENST00000608091,43.6193109598057,1,3.98883487145384e-11,1.92411422111755e-09,TMEM165
ENSG00000183495,ENST00000611118,43.4547679037603,1,4.33873208299353e-11,2.05584208463542e-09,EP400
ENSG00000157557,ENST00000360938,43.417684601562,1,4.42173861168023e-11,2.05584208463542e-09,ETS2
ENSG00000157557,ENST00000667466,43.417684601562,1,4.42173861168023e-11,2.05584208463542e-09,ETS2
ENSG00000122378,ENST00000372181,43.3514307215676,1,4.57401676603178e-11,2.07660361177846e-09,PRXL2A
ENSG00000122378,ENST00000606162,43.3514307215676,1,4.57401676603185e-11,2.07660361177846e-09,PRXL2A
ENSG00000164054,ENST00000494854,42.3086595911495,1,7.79466629008578e-11,3.45742726591276e-09,SHISA5
ENSG00000164054,ENST00000426002,42.3086595911495,1,7.79466629008578e-11,3.45742726591276e-09,SHISA5
ENSG00000165678,ENST00000372134,41.1737051048898,1,1.3928374674688e-10,6.03928065950797e-09,GHITM
ENSG00000165678,ENST00000692871,41.1737051048898,1,1.3928374674688e-10,6.03928065950797e-09,GHITM
ENSG00000167468,ENST00000706713,40.5951150569036,1,1.87274261395337e-10,8.02990416360672e-09,GPX4
ENSG00000141458,ENST00000269228,40.2879055015881,1,2.19161542237085e-10,9.29389441201003e-09,NPC1
ENSG00000159461,ENST00000566757,39.9016804777248,1,2.67073325197548e-10,1.12025648036667e-08,AMFR
ENSG00000135316,ENST00000677646,38.51416153783,1,5.43578217634039e-10,2.25555735682769e-08,SYNCRIP
ENSG00000110841,ENST00000318304,38.3583547865129,1,5.88754878438705e-10,2.39158429041575e-08,PPFIBP1
ENSG00000110841,ENST00000537927,38.3583547865129,1,5.88754878438705e-10,2.39158429041575e-08,PPFIBP1
ENSG00000133313,ENST00000580229,37.7557988929116,1,8.01780243428527e-10,3.22298954103196e-08,CNDP2
ENSG00000156711,ENST00000211287,37.3198150254922,1,1.00260720018727e-09,3.94802161788034e-08,MAPK13
ENSG00000156711,ENST00000373766,37.3198150254922,1,1.00260720018728e-09,3.94802161788034e-08,MAPK13
ENSG00000185896,ENST00000332556,37.0151732478772,1,1.17213555337287e-09,4.52327110046591e-08,LAMP1
ENSG00000185896,ENST00000472564,37.0151732478772,1,1.17213555337287e-09,4.52327110046591e-08,LAMP1
ENSG00000101346,ENST00000375749,36.6358340828378,1,1.42390002583284e-09,5.38708843106758e-08,POFUT1
ENSG00000101346,ENST00000706472,36.6358340828378,1,1.42390002583284e-09,5.38708843106758e-08,POFUT1
ENSG00000291237,ENST00000538183,35.8194225178069,1,2.16479008724857e-09,8.11060674436139e-08,SOD2
ENSG00000151348,ENST00000684437,35.795173789508,1,2.19190199460542e-09,8.13322095882916e-08,EXT2
ENSG00000112531,ENST00000361752,35.5617275776369,1,2.47094920522582e-09,8.9956537575156e-08,QKI
ENSG00000112531,ENST00000392127,35.5617275776369,1,2.47094920522584e-09,8.9956537575156e-08,QKI
ENSG00000143420,ENST00000271690,35.4411444516553,1,2.62874826179986e-09,9.48069116101463e-08,ENSA
ENSG00000104320,ENST00000697295,35.0837035082085,1,3.15832902782017e-09,1.12851775169982e-07,NBN
ENSG00000153046,ENST00000397588,33.8496805386074,1,5.95388675744565e-09,2.10789440339292e-07,CDYL
ENSG00000034713,ENST00000565985,33.0758658820249,1,8.86320637954749e-09,3.10937394715216e-07,GABARAPL2
ENSG00000067064,ENST00000429642,32.5704379424575,1,1.14949943991196e-08,3.99632282758581e-07,IDI1
ENSG00000017260,ENST00000514654,32.0485077553248,1,1.50370556336455e-08,5.18107122234267e-07,ATP2C1
ENSG00000183283,ENST00000549041,32.0237332629262,1,1.52300491194415e-08,5.20112916388714e-07,DAZAP2
ENSG00000125844,ENST00000246043,31.8474641466403,1,1.66767254710156e-08,5.64521785900431e-07,RRBP1
ENSG00000101276,ENST00000645534,31.0777078240587,1,2.47902157015181e-08,8.31873412105723e-07,SLC52A3
ENSG00000106853,ENST00000407693,31.0560465209823,1,2.50684184699701e-08,8.33957128238058e-07,PTGR1
ENSG00000196776,ENST00000355354,30.9451116231755,1,2.65429788969888e-08,8.7546457746564e-07,CD47
ENSG00000099624,ENST00000395633,30.3733843312939,1,3.56384651049444e-08,1.16549861728797e-06,ATP5F1D
ENSG00000197006,ENST00000564733,30.3230139644615,1,3.65760341835964e-08,1.1701786430154e-06,METTL9
ENSG00000197006,ENST00000358154,30.3230139644615,1,3.65760341835964e-08,1.1701786430154e-06,METTL9
ENSG00000110700,ENST00000531908,30.3169123792447,1,3.66912712632451e-08,1.1701786430154e-06,RPS13
ENSG00000075415,ENST00000552981,30.0471964754225,1,4.21657693834347e-08,1.33375167254651e-06,SLC25A3
ENSG00000100600,ENST00000555699,29.9636005018235,1,4.40233174369404e-08,1.36585801958571e-06,LGMN
ENSG00000100600,ENST00000334869,29.9636005018235,1,4.40233174369404e-08,1.36585801958571e-06,LGMN
ENSG00000035720,ENST00000265404,29.938515269773,1,4.45965562238402e-08,1.36585801958571e-06,STAP1
ENSG00000035720,ENST00000396225,29.938515269773,1,4.45965562238402e-08,1.36585801958571e-06,STAP1
ENSG00000081177,ENST00000409675,29.5229045229562,1,5.52597891226398e-08,1.66599629862708e-06,EXD2
ENSG00000081177,ENST00000312994,29.5229045229562,1,5.52597891226398e-08,1.66599629862708e-06,EXD2
ENSG00000113575,ENST00000481195,29.3792316618702,1,5.95120132142083e-08,1.75890500723776e-06,PPP2CA
ENSG00000197622,ENST00000439374,29.3728317183978,1,5.97088768976797e-08,1.75890500723776e-06,CDC42SE1
ENSG00000197622,ENST00000357235,29.3728317183978,1,5.97088768976797e-08,1.75890500723776e-06,CDC42SE1
ENSG00000177706,ENST00000313766,28.9036321371702,1,7.60701353277446e-08,2.20717783631403e-06,FAM20C
ENSG00000177706,ENST00000515795,28.9036321371702,1,7.60701353277446e-08,2.20717783631403e-06,FAM20C
ENSG00000168159,ENST00000482739,28.8229622825108,1,7.93052866630625e-08,2.26695630542786e-06,RNF187
ENSG00000168159,ENST00000305943,28.8229622825107,1,7.93052866630631e-08,2.26695630542786e-06,RNF187
ENSG00000109519,ENST00000264954,28.7954808191273,1,8.04385865660989e-08,2.26863938491542e-06,GRPEL1
ENSG00000173821,ENST00000319921,28.7930422254162,1,8.05399315194125e-08,2.26863938491542e-06,RNF213
ENSG00000196776,ENST00000517766,28.357591092591,1,1.00850562258734e-07,2.8201617373656e-06,CD47
ENSG00000188846,ENST00000338970,28.263586537978,1,1.05868915291673e-07,2.93919528137099e-06,RPL14
ENSG00000135241,ENST00000426128,28.1753795091354,1,1.10805125863211e-07,3.03260270004353e-06,PNPLA8
ENSG00000135241,ENST00000257694,28.1753795091354,1,1.10805125863213e-07,3.03260270004353e-06,PNPLA8
ENSG00000090686,ENST00000308271,28.1027786836384,1,1.15040569683835e-07,3.12634900288676e-06,USP48
ENSG00000143420,ENST00000369014,27.9193994688097,1,1.26475355374905e-07,3.41306570903328e-06,ENSA
ENSG00000050628,ENST00000370924,27.7513866670018,1,1.37949288619054e-07,3.67361842633842e-06,PTGER3
ENSG00000135316,ENST00000677481,27.7501937234158,1,1.38034379844278e-07,3.67361842633842e-06,SYNCRIP
ENSG00000142188,ENST00000420455,27.626685535764,1,1.47134823455735e-07,3.88899509394302e-06,TMEM50B
ENSG00000044574,ENST00000324460,27.60460324955,1,1.48824166690793e-07,3.90688747795761e-06,HSPA5
ENSG00000114416,ENST00000698793,27.554625492095,1,1.52719707269803e-07,3.98206317806872e-06,FXR1
ENSG00000151148,ENST00000342494,26.9820102545379,1,2.05357874608594e-07,5.28317358743044e-06,UBE3B
ENSG00000151148,ENST00000536398,26.9820102545379,1,2.05357874608594e-07,5.28317358743044e-06,UBE3B
ENSG00000122705,ENST00000540080,26.9262921590116,1,2.11363926456458e-07,5.36614073812817e-06,CLTA
ENSG00000122705,ENST00000345519,26.9262921590116,1,2.11363926456461e-07,5.36614073812817e-06,CLTA
ENSG00000034713,ENST00000037243,26.7038294519756,1,2.37151050722613e-07,5.98147650155925e-06,GABARAPL2
ENSG00000054611,ENST00000337137,26.590769301255,1,2.51442224389855e-07,6.2601002833578e-06,TBC1D22A
ENSG00000054611,ENST00000380995,26.590769301255,1,2.51442224389857e-07,6.2601002833578e-06,TBC1D22A
ENSG00000135480,ENST00000549638,26.4177029684914,1,2.75008424119538e-07,6.72913226392296e-06,KRT7
ENSG00000110651,ENST00000263645,26.4141654251424,1,2.75512541513301e-07,6.72913226392296e-06,CD81
ENSG00000110651,ENST00000475945,26.4141654251424,1,2.75512541513301e-07,6.72913226392296e-06,CD81
ENSG00000066654,ENST00000396083,25.9245925843089,1,3.5501737260557e-07,8.56257525553061e-06,THUMPD1
ENSG00000066654,ENST00000381337,25.9245925843089,1,3.55017372605571e-07,8.56257525553061e-06,THUMPD1
ENSG00000143971,ENST00000645739,25.5136471737757,1,4.3926482410353e-07,1.04411445050451e-05,ETAA1
ENSG00000143971,ENST00000272342,25.5136471737757,1,4.39264824103532e-07,1.04411445050451e-05,ETAA1
ENSG00000188846,ENST00000396203,25.5059415125336,1,4.41022688344741e-07,1.04411445050451e-05,RPL14
ENSG00000126804,ENST00000358738,25.4720767932908,1,4.48832106461225e-07,1.04972309020235e-05,ZBTB1
ENSG00000126804,ENST00000683701,25.4720767932907,1,4.48832106461228e-07,1.04972309020235e-05,ZBTB1
ENSG00000125779,ENST00000621891,25.0461564521253,1,5.59742191869615e-07,1.29344019067356e-05,PANK2
ENSG00000125779,ENST00000316562,25.0461564521253,1,5.59742191869615e-07,1.29344019067356e-05,PANK2
ENSG00000135253,ENST00000616669,24.8933099982687,1,6.05923311736744e-07,1.39182027380482e-05,KCP
ENSG00000164733,ENST00000353047,24.8737649450119,1,6.12097803736154e-07,1.39768368320581e-05,CTSB
ENSG00000107968,ENST00000375321,24.8089717905735,1,6.33021453556219e-07,1.42855543232365e-05,MAP3K8
ENSG00000107968,ENST00000375322,24.8089717905735,1,6.33021453556219e-07,1.42855543232365e-05,MAP3K8
ENSG00000170315,ENST00000578649,24.4720413883433,1,7.5396009148106e-07,1.69158836803803e-05,UBB
ENSG00000153187,ENST00000366527,24.3682085100235,1,7.95710552330127e-07,1.76473966749541e-05,HNRNPU
ENSG00000153187,ENST00000639628,24.3682085100234,1,7.95710552330139e-07,1.76473966749541e-05,HNRNPU
ENSG00000139055,ENST00000540097,24.2157263106514,1,8.61261434584306e-07,1.88841356594366e-05,ERP27
ENSG00000139055,ENST00000266397,24.2157263106514,1,8.61261434584306e-07,1.88841356594366e-05,ERP27
ENSG00000188529,ENST00000344989,24.1326411855797,1,8.99230866879441e-07,1.94951231195942e-05,SRSF10
ENSG00000188529,ENST00000492112,24.1326411855797,1,8.99230866879441e-07,1.94951231195942e-05,SRSF10
ENSG00000050628,ENST00000306666,24.0591385614841,1,9.34218294759853e-07,2.01404938518339e-05,PTGER3
ENSG00000167468,ENST00000354171,23.9223636704173,1,1.00299814571411e-06,2.15031658017265e-05,GPX4
ENSG00000196230,ENST00000396389,23.7449586794281,1,1.09983079646374e-06,2.34488786936662e-05,TUBB
ENSG00000168397,ENST00000475693,23.6311984750694,1,1.16680358857122e-06,2.4604890974297e-05,ATG4B
ENSG00000168397,ENST00000404914,23.6311984750694,1,1.16680358857122e-06,2.4604890974297e-05,ATG4B
ENSG00000166454,ENST00000566488,23.4194903603136,1,1.30252145397531e-06,2.71698934642742e-05,ATMIN
ENSG00000166454,ENST00000299575,23.4194903603136,1,1.30252145397531e-06,2.71698934642742e-05,ATMIN
ENSG00000139116,ENST00000544797,23.2177667926194,1,1.44654722887343e-06,3.00119664313041e-05,KIF21A
ENSG00000134057,ENST00000513102,23.0512759226204,1,1.57737793337119e-06,3.23781991748906e-05,CCNB1
ENSG00000134057,ENST00000256442,23.0512759226204,1,1.57737793337119e-06,3.23781991748906e-05,CCNB1
ENSG00000205542,ENST00000380636,22.981639413455,1,1.63556031628325e-06,3.33948532303549e-05,TMSB4X
ENSG00000235142,ENST00000671512,22.8601104302754,1,1.7423041039048e-06,3.53871133524664e-05,LINC02532
ENSG00000213918,ENST00000246949,22.7253781239719,1,1.86883359615786e-06,3.77582662176607e-05,DNASE1
ENSG00000181019,ENST00000320623,22.5015234304162,1,2.09977002979241e-06,4.1984520958388e-05,NQO1
ENSG00000181019,ENST00000379047,22.5015234304162,1,2.09977002979241e-06,4.1984520958388e-05,NQO1
ENSG00000089356,ENST00000346446,22.4112456519309,1,2.20081610250942e-06,4.37780893792982e-05,FXYD3
ENSG00000157110,ENST00000520916,22.3898268442596,1,2.22549716095375e-06,4.4042018174977e-05,RBPMS
ENSG00000115207,ENST00000359541,22.3317305009537,1,2.29384908343898e-06,4.45914240820144e-05,GTF3C2
ENSG00000115207,ENST00000495298,22.3317305009537,1,2.29384908343898e-06,4.45914240820144e-05,GTF3C2
ENSG00000144674,ENST00000361924,22.327022125177,1,2.29948001874083e-06,4.45914240820144e-05,GOLGA4
ENSG00000144674,ENST00000356847,22.327022125177,1,2.29948001874083e-06,4.45914240820144e-05,GOLGA4
ENSG00000155506,ENST00000518297,22.2493051324047,1,2.39445421177243e-06,4.62009940161491e-05,LARP1
ENSG00000033800,ENST00000249636,22.0960761094064,1,2.59339312775204e-06,4.95440796039362e-05,PIAS1
ENSG00000033800,ENST00000611270,22.0960761094064,1,2.59339312775204e-06,4.95440796039362e-05,PIAS1
ENSG00000100614,ENST00000395076,21.5567378174932,1,3.43513710671729e-06,6.49813436020687e-05,PPM1A
ENSG00000100614,ENST00000325658,21.5567378174932,1,3.43513710671729e-06,6.49813436020687e-05,PPM1A
ENSG00000067225,ENST00000565143,21.4018736643292,1,3.72407078508077e-06,7.01033617542765e-05,PKM
ENSG00000149313,ENST00000534152,21.2826456473518,1,3.96303129887783e-06,7.38808588520278e-05,AASDHPPT
ENSG00000149313,ENST00000278618,21.2826456473517,1,3.96303129887788e-06,7.38808588520278e-05,AASDHPPT
ENSG00000198380,ENST00000361060,21.1032407354437,1,4.35191516486727e-06,8.0740579909725e-05,GFPT1
ENSG00000127952,ENST00000438695,21.0073394996535,1,4.57527307489396e-06,8.44783674450517e-05,STYXL1
ENSG00000133703,ENST00000687356,20.9336275685783,1,4.75474151314888e-06,8.73740357106739e-05,KRAS
ENSG00000171456,ENST00000647223,20.9001067680511,1,4.8386762508292e-06,8.84950315258289e-05,ASXL1
ENSG00000183426,ENST00000545831,20.8669497489679,1,4.92316299014729e-06,8.96154999008414e-05,NPIPA1
ENSG00000157110,ENST00000339877,20.7961557767703,1,5.10854019270489e-06,9.25533173880196e-05,RBPMS
ENSG00000064995,ENST00000361288,20.6636762496441,1,5.47447490280506e-06,9.82971738984926e-05,TAF11
ENSG00000241468,ENST00000292475,20.6629609623101,1,5.4765204426473e-06,9.82971738984926e-05,ATP5MF
ENSG00000138434,ENST00000480753,20.573827911125,1,5.73751631136971e-06,0.000102032605739981,ITPRID2
ENSG00000138434,ENST00000409136,20.573827911125,1,5.73751631136973e-06,0.000102032605739981,ITPRID2
ENSG00000162735,ENST00000472750,20.3047032328408,1,6.60380537895256e-06,0.000116365684736886,PEX19
ENSG00000162735,ENST00000368072,20.3047032328408,1,6.60380537895259e-06,0.000116365684736886,PEX19
ENSG00000115252,ENST00000358139,20.0264737833943,1,7.6377404263613e-06,0.000133366698214155,PDE1A
ENSG00000115252,ENST00000409365,20.0264737833943,1,7.6377404263613e-06,0.000133366698214155,PDE1A
ENSG00000183696,ENST00000395560,19.8804092469997,1,8.24408303073754e-06,0.000143305929800073,UPP1
ENSG00000170471,ENST00000461147,19.7096443537326,1,9.0145276110705e-06,0.000155995793951216,RALGAPB
ENSG00000131828,ENST00000422285,19.5213137414487,1,9.94834600079633e-06,0.000171386907219076,PDHA1
ENSG00000124523,ENST00000681243,19.432205835177,1,1.04234439909268e-05,0.000178773646048829,SIRT5
ENSG00000204054,ENST00000663000,19.4232833366949,1,1.04722535204277e-05,0.000178816045731551,LINC00963
ENSG00000100299,ENST00000610191,19.292546737487,1,1.12143255224393e-05,0.00018980737803111,ARSA
ENSG00000100299,ENST00000216124,19.292546737487,1,1.12143255224393e-05,0.00018980737803111,ARSA
ENSG00000026508,ENST00000532339,19.2534895633254,1,1.14460975263132e-05,0.00019232335902288,CD44
ENSG00000136261,ENST00000630952,19.2424477889048,1,1.15124892288897e-05,0.00019232335902288,BZW2
ENSG00000136261,ENST00000258761,19.2424477889048,1,1.15124892288897e-05,0.00019232335902288,BZW2
ENSG00000145675,ENST00000320694,19.0606095612299,1,1.26631792236541e-05,0.000210402139420186,PIK3R1
ENSG00000099219,ENST00000684950,19.0545081382881,1,1.27037311440537e-05,0.000210402139420186,ERMP1
ENSG00000164877,ENST00000413446,19.0269870739796,1,1.2888271476727e-05,0.000211508290102825,MICALL2
ENSG00000164877,ENST00000297508,19.0269870739796,1,1.2888271476727e-05,0.000211508290102825,MICALL2
ENSG00000179299,ENST00000381782,19.0200890662721,1,1.2934945961199e-05,0.000211508290102825,NSUN7
ENSG00000160194,ENST00000340344,19.001121573922,1,1.3064164054614e-05,0.000212719869564369,NDUFV3
ENSG00000151348,ENST00000533608,18.8695919216242,1,1.39966100741379e-05,0.000226716266345985,EXT2
ENSG00000054654,ENST00000674144,18.8555532024869,1,1.4100001016594e-05,0.000226716266345985,SYNE2
ENSG00000054654,ENST00000344113,18.8555532024869,1,1.4100001016594e-05,0.000226716266345985,SYNE2
ENSG00000050405,ENST00000341247,18.6459948245429,1,1.57377531761559e-05,0.000250958634325562,LIMA1
ENSG00000050405,ENST00000547825,18.6459948245429,1,1.5737753176156e-05,0.000250958634325562,LIMA1
ENSG00000115760,ENST00000471232,18.5907122765651,1,1.62007934931325e-05,0.000257279267860076,BIRC6
ENSG00000057252,ENST00000540564,18.5305637563125,1,1.67201499078005e-05,0.000263359422425315,SOAT1
ENSG00000057252,ENST00000367619,18.5305637563125,1,1.67201499078005e-05,0.000263359422425315,SOAT1
ENSG00000104320,ENST00000697305,18.4408108797489,1,1.7526391776115e-05,0.000274936365300927,NBN
ENSG00000164975,ENST00000380821,18.4215097435554,1,1.77048115056189e-05,0.000276610800000742,SNAPC3
ENSG00000055163,ENST00000521420,18.3733240605766,1,1.81582444572135e-05,0.000281416326748542,CYFIP2
ENSG00000055163,ENST00000523383,18.3733240605766,1,1.81582444572135e-05,0.000281416326748542,CYFIP2
ENSG00000120533,ENST00000521688,18.293313938149,1,1.89370646311016e-05,0.000292312529645684,ENY2
ENSG00000145675,ENST00000697463,18.2476018986036,1,1.93970001962583e-05,0.000298219218156816,PIK3R1
ENSG00000173230,ENST00000694956,18.2181154649621,1,1.96996179295284e-05,0.000300477571502174,GOLGB1
ENSG00000173230,ENST00000695007,18.2181154649621,1,1.96996179295284e-05,0.000300477571502174,GOLGB1
ENSG00000133706,ENST00000505223,17.9626520682115,1,2.25281979580617e-05,0.000342268960315591,LARS1
ENSG00000169136,ENST00000423777,17.8259624883223,1,2.4205778324712e-05,0.000364883197480718,ATF5
ENSG00000169136,ENST00000600336,17.8259624883223,1,2.4205778324712e-05,0.000364883197480718,ATF5
